AgroTrakName,Type,ai,CompTox.PREFERRED_NAME,cas.number,inEcoTox,inManualAdd,ModeOfAction
ASPERGILLUS FLAVUS,Fungicide,ASPERGILLUS FLAVUS,NA,NA,FALSE,FALSE,
REYNOUTRIA SACHALINENSIS,Fungicide,REYNOUTRIA SACHALINENSIS,NA,NA,FALSE,FALSE,
BACILLUS AMYLOLIQUEFACIEN,Fungicide,BACILLUS AMYLOLIQUEFACIEN,NA,NA,FALSE,FALSE,
POLYHEDROSIS VIRUS,Insecticide,POLYHEDROSIS VIRUS,NA,NA,FALSE,FALSE,
PIPERONYL BUTOXIDE,Insecticide,PIPERONYL BUTOXIDE,Piperonyl butoxide,51036,TRUE,,
DIMETHOATE,Insecticide,DIMETHOATE,Dimethoate,60515,TRUE,,
CARBARYL (I),Insecticide,CARBARYL,"1-Naphthalenol, 1-(N-methylcarbamate)",63252,TRUE,,
METHOXYCHLOR,Insecticide,METHOXYCHLOR,Methoxychlor,72435,TRUE,,
DIMETHYLARSINIC ACID (H),Herbicide,DIMETHYLARSINIC ACID,Dimethylarsinic acid,75605,TRUE,,
CHLOROPICRIN (I),Insecticide,CHLOROPICRIN,Trichloronitromethane,76062,TRUE,,
ROTENONE,Insecticide,ROTENONE,Rotenone,83794,TRUE,,
MCPA,Herbicide,MCPA,2-(4-Chloro-2-methylphenoxy)acetic acid,94746,TRUE,,
"2,4-D (H)",Herbicide,"2,4-D","2,4-Dichlorophenoxyacetic acid",94757,TRUE,,
PELARGONIC ACID (H),Herbicide,PELARGONIC ACID,Nonanoic acid,112050,TRUE,,
ALDICARB (I),Insecticide,ALDICARB,Aldicarb,116063,TRUE,,
MALATHION,Insecticide,MALATHION,Malathion,121755,TRUE,,
SIMAZINE,Herbicide,SIMAZINE,Simazine,122349,TRUE,,
CAPTAN,Fungicide,CAPTAN,Captan,133062,TRUE,,
DICROTOPHOS,Insecticide,DICROTOPHOS,Dicrotophos,141662,TRUE,,
METHYL PARATHION,Insecticide,METHYL PARATHION,Methyl parathion,298000,TRUE,,
PHORATE,Insecticide,PHORATE,Phorate,298022,TRUE,,
DISULFOTON,Insecticide,DISULFOTON,Disulfoton,298044,TRUE,,
DIURON (H),Herbicide,DIURON,Diuron,330541,TRUE,,
LINURON,Herbicide,LINURON,Linuron,330552,TRUE,,
DIAZINON,Insecticide,DIAZINON,Diazinon,333415,TRUE,,
EPTC,Herbicide,EPTC,EPTC,759944,TRUE,,
AMETRYN,Herbicide,AMETRYN,Ametryn,834128,TRUE,,
