cas.number,ConcType,Effect,LifeStage,ExposureType,Endpoint,ObservedDuration.d,ObsRespMean,ToxUnit
91465086,Active ingredient,Mortality,Adult,Dermal,LD50,1,0.051,AI ug/org
91465086,Active ingredient,Mortality,Adult,Food,LD50,2,0.909,AI ug/org
91465086,Formulation,Mortality,Adult,Food,LD50,2,0.483,AI ug/org
91465086,Active ingredient,Mortality,Adult,Dermal,LD50,2,0.038,AI ug/org
94125345,Active ingredient,Mortality,Larva,Food,LD50,8,21,AI ug/org/d
94125345,Active ingredient,Mortality,Larva,Food,LD50,3,26,AI ug/org/d
94125345,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
94125345,Active ingredient,Development,Larva,Food,NOEL,22,5.8,AI ug/org/d
94125345,Active ingredient,Mortality,Larva,Food,NOEL,8,5.8,AI ug/org/d
94125345,Active ingredient,Mortality,Adult,Food,NOEL,10,0.6,AI ug/org/d
94125345,Active ingredient,Behavior,Adult,Food,NOEL,10,0.6,AI ug/org/d
94125345,Active ingredient,Mortality,Larva,Food,NOEL,15,5.8,AI ug/org/d
94125345,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
94361065,Active ingredient,Mortality,Adult,Dermal,LD50,1,100,AI ug/org
94361065,Active ingredient,Mortality,Adult,Food,LD50,1,100,AI ug/org
94361065,Formulation,Mortality,Larva,Food,LD50,8,11.2,AI ug/org/d
94361065,Formulation,Mortality,Adult,Dermal,LD50,1,100,AI ug/org
94361065,Active ingredient,Mortality,Larva,Food,LD50,8,14.8,AI ug/org/d
94361065,Active ingredient,Mortality,Larva,Food,NOEL,8,9.6,AI ug/org/d
94361065,Active ingredient,Development,Larva,Food,NOEL,22,9.6,AI ug/org/d
94361065,Formulation,Mortality,Larva,Food,NOEL,8,8.79,AI ug/org/d
94361065,Active ingredient,Behavior,Adult,Food,NOEL,10,0.42,AI ug/org/d
94361065,Active ingredient,Mortality,Larva,Food,NOEL,15,9.6,AI ug/org/d
94361065,Active ingredient,Mortality,Adult,Food,NOEL,10,4.31,AI ug/org/d
95266403,Active ingredient,Mortality,Adult,Food,LD50,2,193.6,AI ug/org
95266403,Active ingredient,Mortality,Adult,Dermal,LD50,2,47,AI ug/org
95266403,Active ingredient,Mortality,Adult,Dermal,LD50,2,193.6,AI ug/org
95737681,Active ingredient,Mortality,Adult,Food,LD50,2,72.8,AI ug/org
95737681,Active ingredient,Mortality,Larva,Food,LD50,8,2,AI ug/org/d
95737681,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
95737681,Active ingredient,Mortality,Larva,Food,NOEL,15,2,AI ug/org/d
95737681,Active ingredient,Development,Larva,Food,NOEL,22,0.042,AI ug/org/d
95737681,Active ingredient,Mortality,Larva,Food,NOEL,8,2,AI ug/org/d
95737681,Active ingredient,Mortality,Adult,Food,NOEL,10,26.7,AI ug/org/d
95737681,Active ingredient,Behavior,Adult,Food,NOEL,10,101,AI ug/org/d
95737681,Active ingredient,Growth,Larva,Food,NOEL,22,0.042,AI ug/org/d
96489713,Active ingredient,Mortality,Adult,Dermal,LD50,1.8333,0.024,AI ug/org
96489713,Active ingredient,Mortality,Adult,Food,LD50,2,2.63,AI ug/org
96489713,Active ingredient,Mortality,Adult,Dermal,LD50,2,1.81,AI ug/org
96489713,Active ingredient,Mortality,Adult,Dermal,NOEL,1.8333,0.008,AI ug/org
97886458,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
97886458,Active ingredient,Mortality,Adult,Dermal,LD50,2,81,AI ug/org
97886458,Active ingredient,Mortality,Adult,Food,LD50,2,119,AI ug/org
98886443,Active ingredient,Mortality,Adult,Dermal,LD50,2,0.247,AI ug/org
98967409,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
99485764,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
100784201,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
100784201,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
101200480,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
103361097,Active ingredient,Mortality,Adult,Dermal,LD50,2,105,ug/bee
103361097,Active ingredient,Mortality,Adult,Dermal,NOEL,2,105,ug/bee
104040780,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
104040780,Active ingredient,Mortality,Adult,Food,LD50,2,100,AI ug/org
104040780,Active ingredient,Mortality,Adult,Food,NOEL,2,100,AI ug/org
104040780,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
104098488,Active ingredient,Mortality,Larva,Food,LD50,8,28.5,AI ug/org/d
104098488,Active ingredient,Development,Larva,Food,NOEL,22,13.1,AI ug/org/d
104098488,Active ingredient,Mortality,Larva,Food,NOEL,15,13.1,AI ug/org/d
104098488,Active ingredient,Mortality,Larva,Food,NOEL,8,13.1,AI ug/org/d
104206828,Active ingredient,Mortality,Adult,Food,LD50,2,11,AI ug/org
104206828,Formulation,Mortality,Larva,Food,LD50,3,24.9,AI ug/org/d
104206828,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
104206828,Active ingredient,Mortality,Larva,Food,LD50,8,10.6,AI ug/org/d
104206828,Active ingredient,Mortality,Larva,Food,NOEL,15,10.6,AI ug/org/d
104206828,Active ingredient,Mortality,Larva,Food,NOEL,8,10.6,AI ug/org/d
104206828,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
104206828,Formulation,Mortality,Larva,Food,NOEL,3,14.5,AI ug/org/d
104206828,Active ingredient,Development,Larva,Food,NOEL,22,10.6,AI ug/org/d
104206828,Active ingredient,Mortality,Adult,Food,NOEL,2,11,AI ug/org
105512069,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
105512069,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
106700292,Formulation,Mortality,Larva,Food,LD50,8,31.1,AI ug/org/d
106700292,Formulation,Behavior,Adult,Food,NOEL,10,5,AI ug/org/d
106700292,Formulation,Mortality,Larva,Food,NOEL,8,20.9,AI ug/org/d
106700292,Formulation,Mortality,Adult,Food,NOEL,10,20.6,AI ug/org/d
107534963,Active ingredient,Mortality,Larva,Food,LD50,8,7.9,AI ug/org/d
107534963,Active ingredient,Mortality,Larva,Food,LD50,8,4.7,AI ug/org/d
107534963,Active ingredient,Mortality,Larva,Food,NOEL,15,1.67,AI ug/org/d
107534963,Active ingredient,Development,Larva,Food,NOEL,22,1.67,AI ug/org/d
107534963,Active ingredient,Mortality,Larva,Food,NOEL,8,1.67,AI ug/org/d
107534963,Active ingredient,Development,Larva,Food,NOEL,22,4.7,AI ug/org/d
107534963,Active ingredient,Mortality,Larva,Food,NOEL,15,4.7,AI ug/org/d
107534963,Active ingredient,Mortality,Larva,Food,NOEL,8,4.7,AI ug/org/d
109293972,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
109293972,Active ingredient,Mortality,Adult,Dermal,NOEL,2,25,AI ug/org
110488705,Formulation,Mortality,Adult,Food,LD50,2,50,AI ug/org
110488705,Formulation,Mortality,Adult,Dermal,LD50,2,50,AI ug/org
110488705,Formulation,Mortality,Adult,Food,LD50,4,50,AI ug/org
110488705,Formulation,Mortality,Adult,Dermal,LD50,4,50,AI ug/org
110488705,Formulation,Mortality,Adult,Food,NOEL,4,50,AI ug/org
110488705,Formulation,Mortality,Adult,Food,NOEL,2,50,AI ug/org
110488705,Formulation,Mortality,Adult,Dermal,NOEL,2,50,AI ug/org
110488705,Formulation,Mortality,Adult,Dermal,NOEL,4,50,AI ug/org
111353845,Active ingredient,Mortality,Adult,Dermal,LD50,2,12.5,AI ug/org
111353845,Active ingredient,Mortality,Adult,Dermal,NOEL,2,6,AI ug/org
111578326,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
111988499,Formulation,Mortality,Adult,Food,LD50,2,12.8,ug/bee
111988499,Active ingredient,Mortality,Adult,Food,LD50,2,17.94,AI ug/org
111988499,Active ingredient,Mortality,Adult,Dermal,LD50,2,37.83,AI ug/org
111988499,Formulation,Mortality,Adult,Dermal,LD50,2,43.59,ug/bee
111988499,Formulation,Mortality,Adult,Dermal,NOEL,2,25,ug/bee
111988499,Formulation,Mortality,Adult,Food,NOEL,2,7.6,ug/bee
111991094,Active ingredient,Mortality,Adult,Dermal,LD50,2,20,AI ug/org
112281773,Active ingredient,Mortality,Larva,Food,LD50,8,76,AI ug/org/d
112281773,Active ingredient,Mortality,Larva,Food,LD50,8,28.3,AI ug/org/d
112281773,Active ingredient,Mortality,Larva,Food,NOEL,15,1.63,AI ug/org/d
112281773,Active ingredient,Mortality,Larva,Food,NOEL,8,28.3,AI ug/org/d
112281773,Active ingredient,Behavior,Adult,Food,NOEL,10,0.21,AI ug/org/d
112281773,Active ingredient,Mortality,Larva,Food,NOEL,8,32,AI ug/org/d
112281773,Active ingredient,Mortality,Adult,Food,NOEL,10,0.36,AI ug/org/d
112281773,Active ingredient,Development,Larva,Food,NOEL,22,1.63,AI ug/org/d
112410238,Active ingredient,Mortality,Adult,Dermal,LD50,2,234,AI ug/org
112410238,Active ingredient,Mortality,Adult,Dermal,LD50,4,234,AI ug/org
113136779,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
113136779,Active ingredient,Mortality,Adult,Food,LD50,2,89.5,AI ug/org
114311329,Active ingredient,Mortality,Larva,Food,LD50,8,23.6,AI ug/org/d
114311329,Active ingredient,Mortality,Adult,Dermal,LD50,2,58,AI ug/org
114311329,Active ingredient,Mortality,Larva,Food,LD50,3,93.6,AI ug/org/d
114311329,Active ingredient,Mortality,Adult,Food,LD50,2,40,AI ug/org
114311329,Active ingredient,Mortality,Adult,Food,NOEL,10,101,AI ug/org/d
114311329,Active ingredient,Development,Larva,Food,NOEL,22,5.53,AI ug/org/d
114311329,Active ingredient,Mortality,Larva,Food,NOEL,15,5.53,AI ug/org/d
114311329,Active ingredient,Behavior,Adult,Food,NOEL,10,101,AI ug/org/d
114311329,Active ingredient,Mortality,Larva,Food,NOEL,8,23.6,AI ug/org/d
114369436,Active ingredient,Mortality,Larva,Food,LD50,8,3.04,AI ug/org/d
114369436,Active ingredient,Mortality,Larva,Food,NOEL,15,3.04,AI ug/org/d
114369436,Active ingredient,Growth,Larva,Food,NOEL,22,3.04,AI ug/org/d
114369436,Active ingredient,Development,Larva,Food,NOEL,22,1.11,AI ug/org/d
114369436,Active ingredient,Mortality,Larva,Food,NOEL,8,3.04,AI ug/org/d
115136533,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
115136533,Active ingredient,Mortality,Adult,Dermal,NOEL,2,36,AI ug/org
116714466,Active ingredient,Mortality,Larva,Food,LD50,8,0.0048,AI ug/org/d
116714466,Active ingredient,Mortality,Adult,Food,LD50,2,100,AI ug/org
116714466,Formulation,Mortality,Adult,Food,LD50,2,200,ug/bee
116714466,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
116714466,Formulation,Mortality,Adult,Dermal,LD50,2,200,ug/bee
116714466,Active ingredient,Mortality,Larva,Food,NOEL,8,0.0048,AI ug/org/d
116714466,Active ingredient,Growth,Larva,Food,NOEL,22,6.3e-4,AI ug/org/d
116714466,Active ingredient,Mortality,Adult,Food,NOEL,2,100,AI ug/org
116714466,Formulation,Mortality,Adult,Food,NOEL,2,200,ug/bee
116714466,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
116714466,Formulation,Mortality,Adult,Dermal,NOEL,2,200,ug/bee
116714466,Active ingredient,Development,Larva,Food,NOEL,22,6.3e-4,AI ug/org/d
117337196,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
117428225,Formulation,Mortality,Larva,Food,LD50,3,7.83,AI ug/org
117428225,Formulation,Mortality,Adult,Dermal,LD50,2,200,AI ug/org
117428225,Active ingredient,Mortality,Adult,Dermal,LD50,2,200,AI ug/org
117428225,Formulation,Mortality,Adult,Food,LD50,2,200,AI ug/org
117428225,Active ingredient,Mortality,Adult,Dermal,NOEL,2,200,AI ug/org
117428225,Formulation,Mortality,Adult,Food,NOEL,2,200,AI ug/org
117428225,Formulation,Mortality,Adult,Food,NOEL,10,5.15,AI ug/org/d
117428225,Formulation,Behavior,Adult,Food,NOEL,10,5.15,AI ug/org/d
117428225,Formulation,Mortality,Adult,Dermal,NOEL,2,200,AI ug/org
117718602,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
117718602,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
118134308,Active ingredient,Mortality,Adult,Food,LD50,2,100,AI ug/org
118134308,Active ingredient,Mortality,Adult,Dermal,LD50,2,4.22,AI ug/org
118712893,Active ingredient,Mortality,Adult,Dermal,LD50,2,0.0239,AI ug/org
118712893,Active ingredient,Mortality,Adult,Food,LD50,2,0.5,AI ug/org
119446683,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
119446683,Formulation,Mortality,Larva,Food,LD50,8,1.79,AI ug/org/d
119446683,Active ingredient,Mortality,Larva,Food,LD50,8,20.9,AI ug/org/d
119446683,Active ingredient,Mortality,Larva,Food,NOEL,8,9.28,AI ug/org/d
119446683,Formulation,Mortality,Larva,Food,NOEL,8,1.31,AI ug/org/d
119446683,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
119446683,Active ingredient,Development,Larva,Food,NOEL,22,9.28,AI ug/org/d
119446683,Active ingredient,Behavior,Adult,Food,NOEL,10,13,AI ug/org/d
119446683,Active ingredient,Mortality,Larva,Food,NOEL,15,9.28,AI ug/org/d
119446683,Formulation,Behavior,Adult,Food,NOEL,10,21.3,AI ug/org/d
119446683,Formulation,Mortality,Adult,Food,NOEL,10,10.6,AI ug/org/d
119446683,Active ingredient,Mortality,Adult,Food,NOEL,10,13,AI ug/org/d
120068373,Active ingredient,Mortality,Larva,Food,LD50,3,0.0238,AI ug/org
120068373,Active ingredient,Mortality,Larva,Food,LD50,4,0.0218,AI ug/org
120068373,Active ingredient,Mortality,Adult,Dermal,LD50,2,0.006,AI ug/org
120068373,Active ingredient,Mortality,Adult,Food,LD50,2,0.00405,AI ug/org
120116883,Formulation,Mortality,Larva,Food,LD50,8,28,AI ug/org/d
120116883,Formulation,Mortality,Larva,Food,LD50,3,66,AI ug/org/d
120116883,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
120116883,Active ingredient,Mortality,Adult,Food,LD50,2,151.7,AI ug/org
120116883,Formulation,Mortality,Larva,Food,NOEL,15,28,ug/org/d
120116883,Formulation,Mortality,Larva,Food,NOEL,8,28,ug/org/d
120116883,Formulation,Behavior,Adult,Food,NOEL,10,110,AI ug/org/d
120116883,Active ingredient,Mortality,Adult,Food,NOEL,2,151.7,AI ug/org
120116883,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
120116883,Formulation,Growth,Larva,Food,NOEL,22,5.8,ug/org/d
120116883,Formulation,Development,Larva,Food,NOEL,22,28,ug/org/d
120116883,Formulation,Mortality,Adult,Food,NOEL,10,110,AI ug/org/d
120928098,Active ingredient,Mortality,Larva,Food,LD50,3,0.347,AI ug/org
120928098,Active ingredient,Mortality,Adult,Dermal,LD50,2,1.1,AI ug/org
120928098,Active ingredient,Mortality,Adult,Food,LD50,2,5.8,AI ug/org
120928098,Active ingredient,Mortality,Adult,Dermal,LD50,2,8.1,AI ug/org
120928098,Active ingredient,Mortality,Adult,Food,LD50,2,7.3,AI ug/org
120928098,Active ingredient,Mortality,Adult,Food,NOEL,2,0.31,AI ug/org
120928098,Active ingredient,Behavior,Adult,Food,NOEL,10,29,AI ug/org/d
120928098,Active ingredient,Mortality,Adult,Dermal,NOEL,2,0.375,AI ug/org
120928098,Active ingredient,Mortality,Adult,Food,NOEL,10,0.69,AI ug/org/d
120928098,Active ingredient,Mortality,Adult,Food,NOEL,2,2.5,AI ug/org
120928098,Active ingredient,Mortality,Adult,Dermal,NOEL,2,2.5,AI ug/org
121552612,Active ingredient,Mortality,Adult,Dermal,LD50,2,784,AI ug/org
122008859,Active ingredient,Mortality,Adult,Dermal,LD50,1,100,AI ug/org
122008859,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
122008859,Active ingredient,Mortality,Adult,Food,LD50,1,100,AI ug/org
122008859,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
122453730,Active ingredient,Mortality,Adult,Dermal,LD50,2,0.11,AI ug/org
122453730,Active ingredient,Mortality,Adult,Dermal,NOEL,2,0.02,AI ug/org
122548338,Active ingredient,Mortality,Adult,Dermal,LD50,2,20,AI ug/org
122548338,Active ingredient,Mortality,Adult,Food,LD50,2,20,AI ug/org
122548338,Active ingredient,Mortality,Adult,Food,LD50,2,45.9,AI ug/org
122548338,Active ingredient,Mortality,Adult,Dermal,LD50,2,59.9,AI ug/org
122548338,Active ingredient,Mortality,Adult,Food,NOEL,2,20,AI ug/org
122548338,Active ingredient,Mortality,Adult,Food,NOEL,2,35.2,AI ug/org
122548338,Active ingredient,Mortality,Adult,Dermal,NOEL,2,20,AI ug/org
122548338,Active ingredient,Mortality,Adult,Dermal,NOEL,2,35.2,AI ug/org
122836355,Active ingredient,Mortality,Adult,Dermal,LD50,2,25.1,AI ug/org
122931480,Active ingredient,Mortality,Larva,Food,LD50,3,27.3,AI ug/org
123312890,Active ingredient,Mortality,Adult,Dermal,LD50,2,200,AI ug/org
123312890,Active ingredient,Mortality,Adult,Food,LD50,2,117,AI ug/org
123312890,Active ingredient,Mortality,Adult,Food,LD50,4,62.71,AI ug/org
123312890,Active ingredient,Mortality,Adult,Dermal,LD50,4,100,AI ug/org
123312890,Active ingredient,Mortality,Adult,Dermal,NOEL,2,200,AI ug/org
123343168,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
123343168,Active ingredient,Mortality,Adult,Dermal,NOEL,2,25,AI ug/org
124495187,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
124495187,Active ingredient,Mortality,Larva,Food,LD50,8,19.38,AI ug/org/d
124495187,Active ingredient,Mortality,Adult,Dermal,LD50,1.9167,25,AI ug/org
124495187,Active ingredient,Mortality,Adult,Dermal,NOEL,1.9167,25,AI ug/org
124495187,Active ingredient,Mortality,Larva,Food,NOEL,22,0.77,AI ug/org/d
124495187,Active ingredient,Mortality,Larva,Food,NOEL,15,0.77,AI ug/org/d
124495187,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
124495187,Active ingredient,Mortality,Larva,Food,NOEL,8,0.77,AI ug/org/d
125116236,Active ingredient,Mortality,Larva,Food,LD50,3,101,AI ug/org/d
125116236,Active ingredient,Mortality,Adult,Dermal,LD50,4,95.3,AI ug/org
125116236,Active ingredient,Mortality,Adult,Food,LD50,4,88,AI ug/org
125116236,Active ingredient,Mortality,Larva,Food,LD50,8,21,AI ug/org/d
125116236,Active ingredient,Mortality,Larva,Food,NOEL,15,2.9,AI ug/org/d
125116236,Active ingredient,Behavior,Adult,Food,NOEL,10,5.43,AI ug/org/d
125116236,Active ingredient,Mortality,Adult,Food,NOEL,10,5.43,AI ug/org/d
125116236,Active ingredient,Mortality,Adult,Food,NOEL,4,11,AI ug/org
125116236,Active ingredient,Mortality,Larva,Food,NOEL,8,2.9,AI ug/org/d
125116236,Active ingredient,Mortality,Adult,Dermal,NOEL,4,95.3,AI ug/org
125116236,Active ingredient,Development,Larva,Food,NOEL,22,2.9,AI ug/org/d
125225287,Active ingredient,Mortality,Larva,Food,LD50,8,14,AI ug/org/d
125225287,Active ingredient,Mortality,Larva,Food,LD50,8,22,AI ug/org
125225287,Active ingredient,Mortality,Adult,Food,NOEL,10,62,AI ug/org/d
125225287,Active ingredient,Behavior,Adult,Food,NOEL,10,62,AI ug/org/d
125225287,Active ingredient,Mortality,Larva,Food,NOEL,15,8.5,AI ug/org/d
125225287,Active ingredient,Mortality,Larva,Food,NOEL,8,8.5,AI ug/org/d
125225287,Active ingredient,Growth,Larva,Food,NOEL,22,8.5,AI ug/org/d
125225287,Active ingredient,Development,Larva,Food,NOEL,22,8.5,AI ug/org/d
125401925,Active ingredient,Mortality,Adult,Food,LD50,2,78,AI ug/org
125401925,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
125401925,Active ingredient,Mortality,Larva,Food,LD50,8,25,AI ug/org/d
125401925,Active ingredient,Mortality,Adult,Dermal,NOEL,2,25,AI ug/org
125401925,Active ingredient,Behavior,Adult,Food,NOEL,10,30,AI ug/org/d
125401925,Active ingredient,Development,Larva,Food,NOEL,22,25,AI ug/org/d
125401925,Active ingredient,Mortality,Larva,Food,NOEL,22,25,AI ug/org/d
125401925,Active ingredient,Mortality,Larva,Food,NOEL,8,25,AI ug/org/d
125401925,Active ingredient,Mortality,Adult,Food,NOEL,10,30,AI ug/org/d
125401925,Active ingredient,Growth,Larva,Food,NOEL,22,1.6,AI ug/org/d
126535157,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
126833178,Active ingredient,Mortality,Larva,Food,LD50,8,79,AI ug/org/d
126833178,Active ingredient,Mortality,Adult,Dermal,LD50,2,0.215,AI ug/org
126833178,Active ingredient,Mortality,Adult,Food,LD50,2,100,AI ug/org
126833178,Active ingredient,Mortality,Larva,Food,NOEL,8,79,AI ug/org/d
126833178,Active ingredient,Growth,Larva,Food,NOEL,22,79,AI ug/org/d
126833178,Active ingredient,Mortality,Larva,Food,NOEL,15,79,AI ug/org/d
126833178,Active ingredient,Mortality,Adult,Dermal,NOEL,2,0.03,AI ug/org
126833178,Active ingredient,Mortality,Larva,Food,NOEL,22,9.8,AI ug/org/d
126833178,Active ingredient,Development,Larva,Food,NOEL,22,9.8,AI ug/org/d
127277536,Active ingredient,Mortality,Adult,Food,LD50,2,100,AI ug/org
127277536,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
128621727,Active ingredient,Mortality,Adult,Dermal,LD50,1,200,AI ug/org
128621727,Active ingredient,Mortality,Adult,Dermal,NOEL,1,200,AI ug/org
128639021,Formulation,Mortality,Adult,Food,LD50,1,200,AI ug/org
128639021,Active ingredient,Mortality,Adult,Dermal,LD50,2,27.9,AI ug/org
128639021,Formulation,Mortality,Adult,Food,NOEL,1,200,AI ug/org
128639021,Active ingredient,Mortality,Adult,Dermal,NOEL,2,27.9,AI ug/org
129558765,Active ingredient,Mortality,Larva,Food,LD50,8,0.014,AI ug/org/d
129558765,Active ingredient,Mortality,Adult,Food,LD50,2,0.63,AI ug/org
129558765,Active ingredient,Mortality,Adult,Dermal,LD50,4,0.47,AI ug/org
129558765,Active ingredient,Mortality,Larva,Food,LD50,3,0.044,AI ug/org
129558765,Active ingredient,Mortality,Adult,Dermal,NOEL,4,0.3,AI ug/org
129558765,Active ingredient,Mortality,Larva,Food,NOEL,8,0.013,AI ug/org/d
129558765,Active ingredient,Mortality,Adult,Food,NOEL,10,0.075,AI ug/org/d
129558765,Active ingredient,Mortality,Adult,Food,NOEL,2,0.27,AI ug/org
129558765,Active ingredient,Mortality,Larva,Food,NOEL,15,0.0275,AI ug/org/d
129558765,Active ingredient,Mortality,Larva,Food,NOEL,22,0.013,AI ug/org/d
129558765,Active ingredient,Development,Larva,Food,NOEL,22,0.013,AI ug/org/d
129558765,Active ingredient,Behavior,Adult,Food,NOEL,10,0.042,AI ug/org/d
129558765,Active ingredient,Growth,Larva,Food,NOEL,22,0.0275,AI ug/org/d
129630199,Active ingredient,Mortality,Larva,Food,LD50,3,100,AI ug/org
129630199,Active ingredient,Mortality,Larva,Food,LD50,8,20,AI ug/org/d
129630199,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
129630199,Active ingredient,Mortality,Adult,Food,LD50,2,111.99,AI ug/org
129630199,Active ingredient,Mortality,Adult,Food,NOEL,2,111.99,AI ug/org
129630199,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
129630199,Active ingredient,Mortality,Larva,Food,NOEL,22,3,AI ug/org/d
129630199,Active ingredient,Growth,Larva,Food,NOEL,22,23,AI ug/org/d
129630199,Active ingredient,Development,Larva,Food,NOEL,22,3,AI ug/org/d
129630199,Active ingredient,Behavior,Adult,Food,NOEL,10,12,AI ug/org/d
129630199,Active ingredient,Mortality,Adult,Food,NOEL,10,12,AI ug/org/d
129630199,Active ingredient,Mortality,Larva,Food,NOEL,8,6,AI ug/org/d
129909906,Active ingredient,Mortality,Adult,Dermal,LD50,2,200,AI ug/org
129909906,Active ingredient,Mortality,Larva,Food,LD50,8,5.2,AI ug/org/d
129909906,Active ingredient,Mortality,Larva,Food,LD50,3,45,AI ug/org
129909906,Active ingredient,Mortality,Adult,Food,LD50,2,24.4,AI ug/org
129909906,Active ingredient,Mortality,Adult,Dermal,NOEL,2,200,AI ug/org
129909906,Active ingredient,Growth,Larva,Food,NOEL,22,6.9,AI ug/org/d
129909906,Active ingredient,Mortality,Larva,Food,NOEL,15,2.4,AI ug/org/d
129909906,Active ingredient,Mortality,Adult,Food,NOEL,10,1.2,AI ug/org/d
129909906,Active ingredient,Mortality,Larva,Food,NOEL,8,2.4,AI ug/org/d
129909906,Active ingredient,Development,Larva,Food,NOEL,22,2.4,AI ug/org/d
129909906,Active ingredient,Behavior,Adult,Food,NOEL,10,0.6,AI ug/org/d
129909906,Active ingredient,Mortality,Adult,Food,NOEL,10,1.1,AI ug/org/d
129909906,Active ingredient,Mortality,Adult,Food,NOEL,2,9.9,AI ug/org
131341861,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
131341861,Formulation,Mortality,Adult,Food,NOEL,10,44.06,AI ug/org/d
131807573,Active ingredient,Mortality,Adult,Dermal,LD50,2,97.3,AI ug/org
131807573,Active ingredient,Mortality,Larva,Food,LD50,8,7.51,AI ug/org/d
131807573,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
131807573,Active ingredient,Mortality,Adult,Food,LD50,2,0.92,AI ug/org
131807573,Active ingredient,Development,Larva,Food,NOEL,22,7.51,AI ug/org/d
131807573,Active ingredient,Mortality,Adult,Dermal,NOEL,2,25,AI ug/org
131807573,Active ingredient,Mortality,Larva,Food,NOEL,15,7.51,AI ug/org/d
131807573,Active ingredient,Behavior,Adult,Food,NOEL,10,7.21,AI ug/org/d
131807573,Active ingredient,Mortality,Larva,Food,NOEL,8,7.51,AI ug/org/d
131807573,Active ingredient,Mortality,Adult,Food,NOEL,10,7.21,AI ug/org/d
131807573,Active ingredient,Mortality,Larva,Food,NOEL,8,20,AI ug/org/d
131860338,Formulation,Mortality,Adult,Dermal,LD50,2,200,AI ug/org
131860338,Formulation,Mortality,Adult,Food,LD50,2,200,AI ug/org
131983727,Active ingredient,Mortality,Larva,Food,LD50,8,7.3,AI ug/org/d
131983727,Active ingredient,Mortality,Adult,Dermal,LD50,2,24,AI ug/org
131983727,Active ingredient,Mortality,Larva,Food,NOEL,15,2.1,AI ug/org/d
131983727,Active ingredient,Mortality,Adult,Food,NOEL,10,16.6,AI ug/org/d
131983727,Active ingredient,Mortality,Adult,Dermal,NOEL,2,24,AI ug/org
131983727,Active ingredient,Development,Larva,Food,NOEL,22,2.1,AI ug/org/d
131983727,Active ingredient,Mortality,Larva,Food,NOEL,8,2.1,AI ug/org/d
131983727,Active ingredient,Behavior,Adult,Food,NOEL,10,16.6,AI ug/org/d
134098616,Active ingredient,Mortality,Larva,Food,LD50,3,0.2,AI ug/org
134098616,Formulation,Mortality,Adult,Dermal,LD50,3,479.8,AI ug/org
134098616,Formulation,Mortality,Larva,Food,LD50,8,0.031,AI ug/org/d
