ai,ecotox.ineq,ecotox.LD50,farruggia.ineq,farruggia.LD50,manual.ineq,manual.LD50
CLORANSULAM-METHYL,>,25,NA,NA,NA,NA
BIFENAZATE,NA,7.8,NA,NA,NA,NA
AMINOPYRALID,>,100,NA,NA,NA,NA
ETOXAZOLE,>,200,>,200,NA,NA
THIAMETHOXAM,NA,0.0198,NA,0.024,NA,NA
METHOXYFENOZIDE,>,100,>,100,NA,NA
SPINOSYN,NA,0.0029,NA,NA,NA,NA
INDOXACARB,NA,0.0682,NA,0.0682,NA,NA
PYRACLOSTROBIN,>,100,>,100,NA,NA
PYRACLOSTROBIN,>,100,>,100,NA,NA
PROTHIOCONAZOLE,>,200,>,200,NA,NA
PROTHIOCONAZOLE,>,200,>,200,NA,NA
PENTHIOPYRAD,NA,23.49,NA,NA,NA,NA
BOSCALID,>,200,>,200,NA,NA
TOPRAMEZONE,>,100,>,100,NA,NA
TOPRAMEZONE,>,100,>,100,NA,NA
CLOTHIANIDIN,NA,0.0275,NA,0.0439,NA,NA
FLUBENDIAMIDE,>,200,>,200,NA,NA
FLUBENDIAMIDE,>,200,>,200,NA,NA
SPIROMESIFEN,>,200,>,200,NA,NA
SPIROMESIFEN,>,200,>,200,NA,NA
BICYCLOPYRONE,>,197,>,200,NA,NA
FLUOXASTROBIN,>,200,>,200,NA,NA
SAFLUFENACIL,>,100,NA,NA,NA,NA
SAFLUFENACIL,>,100,NA,NA,NA,NA
PYROXASULFONE,>,100,NA,NA,NA,NA
BIXAFEN,>,100,>,100,NA,NA
FLUOPYRAM,>,100,NA,NA,NA,NA
FLUOPYRAM,>,100,NA,NA,NA,NA
AFIDOPYROPEN,NA,20.3,>,200,NA,NA
SPINETORAM,NA,0.024,NA,NA,NA,NA
SULFOXAFLOR,NA,0.13,NA,NA,NA,NA
FLUPYRADIFURONE,NA,11.5,>,100,NA,NA
BENZOVINDIFLUPYR,>,100,>,100,NA,NA
PYDIFLUMETOFEN,>,100,>,100,NA,NA
MEFENTRIFLUCONAZOLE,NA,30,>,100,NA,NA
"2,4-DB",NA,NA,NA,NA,NA,12.3
NAPTALAM,NA,NA,NA,NA,NA,113.2
FENTIN,NA,NA,NA,NA,NA,NA
FONOFOS,NA,NA,NA,NA,NA,3.3
VERNOLATE,NA,NA,NA,NA,NA,NA
PHOSPHORIC ACID,NA,NA,NA,NA,NA,NA
COPPER SULFATE,NA,NA,NA,NA,NA,NA
MANCOZEB,NA,NA,NA,NA,NA,85.3
COPPER HYDROXIDE,NA,NA,NA,NA,NA,NA
METRIBUZIN,NA,NA,NA,NA,NA,60.4
CYANAZINE,NA,NA,NA,NA,NA,NA
