AgroTrakName,Type,ai,CompTox.PREFERRED_NAME,cas.number,cas.number %in% ecotox.casList,inEcoTox
PERMETHRIN,Insecticide,PERMETHRIN,Permethrin,52645531,TRUE,TRUE
PHORATE,Insecticide,PHORATE,Phorate,298022,TRUE,TRUE
PROPARGITE,Insecticide,PROPARGITE,Propargite,2312358,TRUE,TRUE
TEBUPIRIMPHOS,Insecticide,TEBUPIRIMPHOS,Tebupirimfos,96182535,FALSE,FALSE
TEFLUTHRIN,Insecticide,TEFLUTHRIN,Tefluthrin,79538322,TRUE,TRUE
TERBUFOS (I),Insecticide,TERBUFOS,Terbufos,13071799,TRUE,TRUE
ACIFLUORFEN,Herbicide,ACIFLUORFEN,Acifluorfen,50594666,FALSE,FALSE
CHLORIMURON,Herbicide,CHLORIMURON,Chlorimuron,99283008,FALSE,FALSE
CLETHODIM,Herbicide,CLETHODIM,Clethodim,99129212,FALSE,FALSE
CLOMAZONE,Herbicide,CLOMAZONE,Clomazone,81777891,TRUE,TRUE
CLORANSULAM-METHYL,Herbicide,CLORANSULAM-METHYL,Cloransulam-methyl,147150354,TRUE,TRUE
ETHALFLURALIN,Herbicide,ETHALFLURALIN,Ethalfluralin,55283686,TRUE,TRUE
FENOXAPROP,Herbicide,FENOXAPROP,Fenoxaprop,95617097,FALSE,FALSE
FLUAZIFOP,Herbicide,FLUAZIFOP,Fluazifop,69335917,FALSE,FALSE
FOMESAFEN,Herbicide,FOMESAFEN,Fomesafen,72178020,FALSE,FALSE
IMAZAMOX,Herbicide,IMAZAMOX,Imazamox,114311329,TRUE,TRUE
IMAZAQUIN,Herbicide,IMAZAQUIN,Imazaquin,81335377,TRUE,TRUE
LACTOFEN,Herbicide,LACTOFEN,Lactofen,77501634,TRUE,TRUE
NORFLURAZON,Herbicide,NORFLURAZON,Norflurazon,27314132,FALSE,FALSE
QUIZALOFOP,Herbicide,QUIZALOFOP,Quizalofop,76578126,TRUE,TRUE
SULFENTRAZONE,Herbicide,SULFENTRAZONE,Sulfentrazone,122836355,TRUE,TRUE
TRI-ALLATE,Herbicide,TRI-ALLATE,Tri-allate,2303175,TRUE,TRUE
TRIBENURON METHYL,Herbicide,TRIBENURON METHYL,Tribenuron-methyl,101200480,TRUE,TRUE
VERNOLATE,Herbicide,VERNOLATE,Vernolate,1929777,FALSE,FALSE
CARFENTRAZONE-ETHYL (H),Herbicide,CARFENTRAZONE-ETHYL,Carfentrazone-ethyl,128639021,TRUE,TRUE
DIFLUFENZOPYR,Herbicide,DIFLUFENZOPYR,Diflufenzopyr,109293972,TRUE,TRUE
PELARGONIC ACID (H),Herbicide,PELARGONIC ACID,Nonanoic acid,112050,TRUE,TRUE
PROMETRYN,Herbicide,PROMETRYN,Prometryn,7287196,TRUE,TRUE
METHOXYCHLOR,Insecticide,METHOXYCHLOR,Methoxychlor,72435,TRUE,TRUE
CHLORSULFURON,Herbicide,CHLORSULFURON,Chlorsulfuron,64902723,TRUE,TRUE
DIMETHENAMID-P,Herbicide,DIMETHENAMID-P,Dimethenamid-P,163515148,FALSE,FALSE
FLUROXYPYR,Herbicide,FLUROXYPYR,Fluroxypyr,69377817,FALSE,FALSE
METSULFURON,Herbicide,METSULFURON,Metsulfuron,79510488,FALSE,FALSE
PYRETHRINS,Insecticide,PYRETHRINS,Pyrethrins,8003347,TRUE,TRUE
ROTENONE,Insecticide,ROTENONE,Rotenone,83794,TRUE,TRUE
SULFUR (I),Insecticide,SULFUR,Sulfur,7704349,TRUE,TRUE
MESOTRIONE,Herbicide,MESOTRIONE,Mesotrione,104206828,TRUE,TRUE
FLUMIOXAZIN,Herbicide,FLUMIOXAZIN,Flumioxazin,103361097,TRUE,TRUE
FORAMSULFURON,Herbicide,FORAMSULFURON,Foramsulfuron,173159574,TRUE,TRUE
METHOXYFENOZIDE,Insecticide,METHOXYFENOZIDE,Methoxyfenozide,161050584,TRUE,TRUE
ZETA-CYPERMETHRIN,Insecticide,ZETA-CYPERMETHRIN,zeta-Cypermethrin,1315501188,FALSE,FALSE
"NAPTALAM",Herbicide,"NAPTALAM",Naptalam,132661,FALSE,FALSE
TETRAOXOSULFATE,Herbicide,TETRAOXOSULFATE,NA,NA,FALSE,FALSE
